review_id,review_text,gold_sentiment,expected_aspects,difficulty,source_note
R001,A beautifully acted film with a simple story that becomes surprisingly emotional by the end.,positive,"acting,story,ending",easy,synthetic_imdb_style_sample_for_lab_scaffold
R002,"The pacing is slow at first, but the performances and final scene make the movie memorable.",positive,"pacing,acting,ending",mixed_surface_positive_label,synthetic_imdb_style_sample_for_lab_scaffold
R003,I loved the chemistry between the leads and the soundtrack fits every scene perfectly.,positive,"acting,music",easy,synthetic_imdb_style_sample_for_lab_scaffold
R004,"The plot is predictable, yet the warm characters and sharp dialogue kept me engaged.",positive,"story,characters,dialogue",mixed_surface_positive_label,synthetic_imdb_style_sample_for_lab_scaffold
R005,"A clever script, strong direction, and an ending that feels earned rather than forced.",positive,"story,direction,ending",easy,synthetic_imdb_style_sample_for_lab_scaffold
R006,"The visuals are stunning and the world feels alive, even when the story takes familiar turns.",positive,"visuals,story",mixed_surface_positive_label,synthetic_imdb_style_sample_for_lab_scaffold
R007,"This movie balances humor and drama very well, with several scenes that stayed with me.",positive,"tone,story",easy,synthetic_imdb_style_sample_for_lab_scaffold
R008,"The film is not perfect, but it has heart, energy, and a cast that clearly understands the material.",positive,"acting,tone",mixed_surface_positive_label,synthetic_imdb_style_sample_for_lab_scaffold
R009,A touching and thoughtful movie that rewards patience with a powerful emotional payoff.,positive,"emotion,pacing",easy,synthetic_imdb_style_sample_for_lab_scaffold
R010,The director turns a familiar premise into something fresh through careful details and strong atmosphere.,positive,"direction,atmosphere,story",easy,synthetic_imdb_style_sample_for_lab_scaffold
R011,"The action scenes are exciting, the editing is clean, and the characters are more interesting than expected.",positive,"action,editing,characters",easy,synthetic_imdb_style_sample_for_lab_scaffold
R012,"A quiet film, but the silence and small gestures say more than most loud dramas.",positive,"tone,acting",ambiguous_style,synthetic_imdb_style_sample_for_lab_scaffold
R013,"The movie has a few weak jokes, but the emotional core works extremely well.",positive,"humor,emotion",mixed_surface_positive_label,synthetic_imdb_style_sample_for_lab_scaffold
R014,The lead actor carries the film with a natural performance that makes even ordinary scenes compelling.,positive,acting,easy,synthetic_imdb_style_sample_for_lab_scaffold
R015,A smart and entertaining film with enough surprises to keep the audience invested.,positive,"story,entertainment",easy,synthetic_imdb_style_sample_for_lab_scaffold
R016,The cinematography is gorgeous and the music gives the story a strong sense of place.,positive,"visuals,music",easy,synthetic_imdb_style_sample_for_lab_scaffold
R017,"Although the middle section drags, the film recovers with a satisfying final act.",positive,"pacing,ending",mixed_surface_positive_label,synthetic_imdb_style_sample_for_lab_scaffold
R018,"The writing is witty, the cast is charming, and the movie never forgets its emotional stakes.",positive,"writing,acting,emotion",easy,synthetic_imdb_style_sample_for_lab_scaffold
R019,A well-crafted drama that avoids cheap sentiment and lets the characters develop naturally.,positive,"story,characters",easy,synthetic_imdb_style_sample_for_lab_scaffold
